SampleID,path,Label,Set,tissue,assay_type
EE86044,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86044.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86045,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86045.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86046,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86046.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86047,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86047.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86048,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86048.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86049,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86049.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86050,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86050.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86051,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86051.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86052,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86052.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86053,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86053.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86054,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86054.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86055,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86055.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86056,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86056.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86057,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86057.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86058,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86058.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86059,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86059.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86060,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86060.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86061,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86061.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86062,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86062.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86063,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86063.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86064,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86064.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86065,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86065.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86066,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86066.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86067,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86067.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86068,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86068.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86069,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86069.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86070,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86070.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86071,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86071.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86072,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86072.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86073,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86073.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS
EE86074,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86074.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86075,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86075.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86076,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86076.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86077,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86077.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
EE86078,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86078.hg19.frag.tsv,,"Rabinowitz et al., 2019",,WGS
