SampleID,path,Label,Set,tissue,assay_type,newpath
EE86028,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86028.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86028.hg19.frag.tsv
EE86029,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86029.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86029.hg19.frag.tsv
EE86030,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86030.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86030.hg19.frag.tsv
EE86031,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86031.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86031.hg19.frag.tsv
EE86032,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86032.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86032.hg19.frag.tsv
EE86033,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86033.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86033.hg19.frag.tsv
EE86034,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86034.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86034.hg19.frag.tsv
EE86035,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86035.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86035.hg19.frag.tsv
EE86036,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86036.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86036.hg19.frag.tsv
EE86037,/mnt/NAS_PROJECT/vol_ECDteam/hieunho/data/finaledb_extract/EE86037.hg19.frag.tsv,,"Burnham et al., 2018",urine,WGS,/datassd/DATA_HIEUNGUYEN/2024/storage/FinaleDB/batch_1/EE86037.hg19.frag.tsv
